,"crude prevalence rate | per 1000 | Model-based estimate for crude prevalence of mental health not good for >=14 days among adults aged >=18 years, 2020",population | individuals | Total Population of Census 2010,Location
4592,18.5,40902,"Springfield, Missouri"
4593,18.5,499,"East Fultonham, Ohio"
4594,18.5,12071,"Williston, Florida"
4595,18.5,35485,"Tampa, Florida"
4596,18.5,150,"Concord, Pennsylvania"
4597,18.5,30937,"Urbana, Illinois"
4598,18.5,7582,"Richton, Mississippi"
4599,18.5,999,"Oxford, Arkansas"
4600,18.5,13137,"Holiday, Florida"
4601,18.5,2501,"Mansfield, Ohio"
4602,18.5,6387,"Bronson, Michigan"
4603,18.5,26720,"Wyoming, Michigan"
4604,18.5,552,"Big Creek, Mississippi"
4605,18.5,1912,"Snover, Michigan"
4606,18.5,29698,"East Chicago, Indiana"
4607,18.5,8074,"Wesson, Mississippi"
4608,18.5,4565,"Hominy, Oklahoma"
4609,18.5,53,"Turner, Arkansas"
4610,18.5,6375,"Tunica, Mississippi"
4611,18.5,1128,"Mountain City, Georgia"
4612,18.5,64548,"Laredo, Texas"
4613,18.5,8943,"Martins Ferry, Ohio"
4614,18.5,15576,"Waycross, Georgia"
4615,18.5,919,"Quincy, Kentucky"
4616,18.5,175,"Ruby, Alaska"
4617,18.5,635,"Olivehill, Tennessee"
4618,18.5,1530,"Shongaloo, Louisiana"
4619,18.5,14694,"Buffalo, New York"
4620,18.5,784,"Allensville, Pennsylvania"
4621,18.5,321,"Whitewood, Virginia"
4622,18.5,4894,"Winchester, Ohio"
4623,18.5,29659,"West Palm Beach, Florida"
4624,18.5,24465,"Buffalo, New York"
4625,18.5,27946,"Riverdale, Illinois"
4626,18.5,6180,"Moundville, Alabama"
4627,18.5,1831,"Accomac, Virginia"
4628,18.5,1373,"Klamath, California"
4629,18.5,2500,"Powhatan Point, Ohio"
4630,18.5,682,"Glen Allan, Mississippi"
4631,18.5,20384,"Oroville, California"
4632,18.5,18783,"Phenix City, Alabama"
4633,18.5,2868,"Mascot, Tennessee"
4634,18.5,19987,"New Caney, Texas"
4635,18.5,11127,"Cottondale, Alabama"
4636,18.5,2972,"Uvalda, Georgia"
4637,18.5,19213,"Cleveland, Ohio"
4638,18.5,209,"La Fayette, Kentucky"
4639,18.5,711,"Wasola, Missouri"
4640,18.5,182,"Marcella, Arkansas"
4641,18.5,5004,"Como, Mississippi"
4642,18.5,7456,"Athens, Alabama"
4643,18.5,517,"Tarrytown, Georgia"
4644,18.5,1808,"Amarillo, Texas"
4645,18.5,12921,"Saint Joseph, Missouri"
4646,18.5,587,"Strang, Oklahoma"
4647,18.5,293,"Pettigrew, Arkansas"
4648,18.5,2222,"Dryden, Virginia"
4649,18.5,2407,"Crystal, Michigan"
4650,18.5,8665,"Warren, Arkansas"
4651,18.5,395,"Ashuelot, New Hampshire"
4652,18.5,23240,"Maple Heights, Ohio"
4653,18.5,3043,"Patterson, Georgia"
4654,18.5,2030,"Stevinson, California"
4655,18.5,4962,"Ellaville, Georgia"
4656,18.5,435,"Lacassine, Louisiana"
4657,18.5,1721,"Mount Victory, Ohio"
4658,18.5,11015,"Belding, Michigan"
4659,18.5,5353,"Mascotte, Florida"
4660,18.5,5207,"Bells, Tennessee"
4661,18.5,7832,"Baldwyn, Mississippi"
4662,18.5,4487,"Gillsville, Georgia"
4663,18.5,186,"Huggins, Missouri"
4664,18.5,57311,"Bronx, New York"
4665,18.5,3292,"Baraga, Michigan"
4666,18.5,6151,"Airway Heights, Washington"
4667,18.5,11848,"Harrisburg, Pennsylvania"
4668,18.5,3717,"Lawrence, Michigan"
4669,18.5,388,"Marble Canyon, Arizona"
4670,18.5,509,"Coxs Mills, West Virginia"
4671,18.5,1334,"Muir, Michigan"
4672,18.5,39441,"Toledo, Ohio"
4673,18.5,21472,"McKeesport, Pennsylvania"
4674,18.5,27069,"Tyler, Texas"
4675,18.5,7390,"Slocomb, Alabama"
4676,18.5,64548,"Laredo, Texas"
4677,18.5,6642,"Follansbee, West Virginia"
4678,18.5,9900,"Gary, Indiana"
4679,18.5,10059,"Blacksburg, South Carolina"
4680,18.5,923,"Chauncey, Georgia"
4681,18.5,12747,"Bluff City, Tennessee"
4682,18.5,5831,"Centreville, Alabama"
4683,18.5,8086,"Biloxi, Mississippi"
4684,18.5,1904,"Hosford, Florida"
4685,18.5,896,"Dugway, Utah"
4686,18.5,663,"Simpson, Louisiana"
4687,18.5,38069,"Stockton, California"
4688,18.5,1389,"Centertown, Kentucky"
4689,18.5,7705,"Kiln, Mississippi"
4690,18.5,1773,"Fulks Run, Virginia"
4691,18.5,14040,"Sharon, Pennsylvania"
4692,18.5,1771,"Greenbush, Maine"
4693,18.5,208,"Palestine, Ohio"
4694,18.5,5308,"New London, Ohio"
4695,18.5,42761,"Fort Worth, Texas"
4696,18.5,7372,"Maurice, Louisiana"
4697,18.5,2936,"Bassfield, Mississippi"
4698,18.5,15743,"Fresno, California"
4699,18.5,2986,"Trafford, Alabama"
4700,18.5,473,"Macomb, Missouri"
4701,18.5,3994,"Daniels, West Virginia"
4702,18.5,11632,"Poteau, Oklahoma"
4703,18.5,4404,"Dyer, Tennessee"
4704,18.5,63131,"Taylor, Michigan"
4705,18.5,16109,"Elberton, Georgia"
4706,18.5,5194,"Bourbon, Missouri"
4707,18.5,2525,"Murfreesboro, Arkansas"
4708,18.5,7715,"Freeport, Florida"
4709,18.5,30444,"Columbus, Ohio"
4710,18.5,953,"Turrell, Arkansas"
4711,18.5,329,"Lost City, West Virginia"
4712,18.5,2092,"Junction City, Kentucky"
4713,18.5,6556,"Colbert, Georgia"
4714,18.5,42761,"Fort Worth, Texas"
4715,18.5,1191,"Batson, Texas"
4716,18.5,216,"Belmont, Louisiana"
4717,18.5,28225,"Jacksonville, Florida"
4718,18.5,13123,"Dexter, Missouri"
4719,18.5,8548,"Cuba, Missouri"
4720,18.5,34713,"Jonesboro, Georgia"
4721,18.5,380,"Adelphi, Ohio"
4722,18.5,3669,"Crum Lynne, Pennsylvania"
4723,18.5,7256,"Bowdon, Georgia"
4724,18.5,5916,"Cedarville, Ohio"
4725,18.5,12837,"Tylertown, Mississippi"
4726,18.5,1153,"Gans, Oklahoma"
4727,18.5,7805,"Centerville, Tennessee"
4728,18.5,1599,"Delta, Alabama"
4729,18.5,9575,"Toronto, Ohio"
4730,18.5,172,"Daisy, Oklahoma"
4731,18.5,15096,"Waynesboro, Mississippi"
4732,18.5,222,"Cade, Louisiana"
4733,18.5,402,"Los Ebanos, Texas"
4734,18.5,882,"Hammondsville, Ohio"
4735,18.5,1629,"Dennis, Mississippi"
4736,18.5,988,"Ratcliff, Arkansas"
4737,18.5,6797,"Versailles, Missouri"
4738,18.5,1482,"Rosepine, Louisiana"
4739,18.5,25296,"Dahlonega, Georgia"
4740,18.5,375,"Westport, Tennessee"
4741,18.5,2108,"Imboden, Arkansas"
4742,18.5,20020,"Kingsland, Georgia"
4743,18.5,1542,"Lewisville, Ohio"
4744,18.5,198,"Peach Orchard, Arkansas"
4745,18.5,144,"Central, Alaska"
4746,18.5,6414,"Inez, Kentucky"
4747,18.5,33803,"Houston, Texas"
4748,18.5,942,"Campbellton, Florida"
4749,18.5,601,"Meally, Kentucky"
4750,18.5,323,"Oakhurst, Oklahoma"
4751,18.5,51223,"Los Angeles, California"
4752,18.5,7897,"Washington, Georgia"
4753,18.5,2309,"Jeffersonville, Ohio"
4754,18.5,4690,"Raiford, Florida"
4755,18.5,4430,"Shady Spring, West Virginia"
4756,18.5,2605,"Litchfield, Michigan"
4757,18.5,1329,"Ravenden, Arkansas"
4758,18.5,5393,"Coleman, Michigan"
4759,18.5,4104,"Union City, Michigan"
4760,18.5,723,"Pilot Knob, Missouri"
4761,18.5,3494,"Crown City, Ohio"
4762,18.5,7994,"Blountstown, Florida"
4763,18.5,7042,"Demorest, Georgia"
4764,18.5,3901,"Berry, Alabama"
4765,18.5,52822,"Middletown, Ohio"
4766,18.5,608,"Des Arc, Missouri"
4767,18.5,2331,"Normalville, Pennsylvania"
4768,18.5,1735,"Emerson, Arkansas"
4769,18.5,1300,"Blue Rock, Ohio"
4770,18.5,2106,"Bloxom, Virginia"
4771,18.5,11982,"Lehigh Acres, Florida"
4772,18.5,3660,"Holton, Michigan"
4773,18.5,7046,"Cardington, Ohio"
4774,18.5,7547,"Union, Mississippi"
4775,18.5,5991,"Hesperia, Michigan"
4776,18.5,1470,"Grandview, Tennessee"
4777,18.5,688,"Lillie, Louisiana"
4778,18.5,1153,"Gans, Oklahoma"
4779,18.5,5309,"Branford, Florida"
4780,18.5,5299,"Welsh, Louisiana"
4781,18.4,1114,"Cantua Creek, California"
4782,18.4,3869,"Warsaw, Ohio"
4783,18.4,19375,"Flint, Michigan"
4784,18.4,2487,"Rose Hill, Virginia"
4785,18.4,12289,"Colorado Springs, Colorado"
4786,18.4,1365,"Only, Tennessee"
4787,18.4,9337,"Jacksboro, Tennessee"
4788,18.4,1251,"Happy Camp, California"
4789,18.4,772,"Vinegar Bend, Alabama"
4790,18.4,4569,"Jayess, Mississippi"
4791,18.4,1454,"Elk Horn, Kentucky"
4792,18.4,799,"Bluewater, New Mexico"
4793,18.4,1440,"Bell City, Louisiana"
4794,18.4,27024,"Dickson, Tennessee"
4795,18.4,1136,"Leroy, Alabama"
4796,18.4,3856,"Jefferson, South Carolina"
4797,18.4,4058,"Saint Helen, Michigan"
4798,18.4,531,"Arcola, Mississippi"
4799,18.4,50,"Elgin, Ohio"
4800,18.4,186,"Regina, New Mexico"
4801,18.4,1015,"Sunshine, Louisiana"
4802,18.4,4020,"Saint Ignace, Michigan"
4803,18.4,6074,"Talking Rock, Georgia"
4804,18.4,805,"Eckerty, Indiana"
4805,18.4,5179,"Dexter, New Mexico"
4806,18.4,8084,"Fort Mc Coy, Florida"
4807,18.4,34640,"Colorado Springs, Colorado"
4808,18.4,2258,"Taylor, Arkansas"
4809,18.4,51,"Avawam, Kentucky"
4810,18.4,6645,"Fairfield, Maine"
4811,18.4,2258,"Taylor, Arkansas"
4812,18.4,29491,"Hot Springs National Park, Arkansas"
4813,18.4,71,"Bourneville, Ohio"
4814,18.4,577,"Vernon, Michigan"
4815,18.4,1887,"Rutherford, Tennessee"
4816,18.4,369,"Kansas City, Missouri"
4817,18.4,8267,"Star City, Arkansas"
4818,18.4,112,"Summitville, Ohio"
4819,18.4,12630,"Cullman, Alabama"
4820,18.4,3248,"Quaker City, Ohio"
4821,18.4,3854,"Millry, Alabama"
4822,18.4,30163,"Harrison, Arkansas"
4823,18.4,5837,"Terra Bella, California"
4824,18.4,17113,"New Orleans, Louisiana"
4825,18.4,138,"Tallapoosa, Missouri"
4826,18.4,1632,"Kaleva, Michigan"
4827,18.4,2643,"Craigsville, Virginia"
4828,18.4,14479,"New Orleans, Louisiana"
4829,18.4,6486,"Belcourt, North Dakota"
4830,18.4,41443,"Tampa, Florida"
4831,18.4,15380,"Lenoir City, Tennessee"
4832,18.4,7488,"Mansfield, Pennsylvania"
4833,18.4,1251,"Happy Camp, California"
4834,18.4,1133,"Patterson, Missouri"
4835,18.4,21273,"Dearborn Heights, Michigan"
4836,18.4,52969,"Pompano Beach, Florida"
4837,18.4,32967,"Merced, California"
4838,18.4,2111,"Hermitage, Arkansas"
4839,18.4,20668,"Radford, Virginia"
4840,18.4,2398,"Rochelle, Georgia"
4841,18.4,4444,"Lynchburg, Ohio"
4842,18.4,10236,"Munford, Tennessee"
4843,18.4,6050,"Prentiss, Mississippi"
4844,18.4,32334,"Natchez, Mississippi"
4845,18.4,91,"Bogota, Tennessee"
4846,18.4,221,"Helvetia, West Virginia"
4847,18.4,264,"Harrell, Arkansas"
4848,18.4,6462,"Leland, Mississippi"
4849,18.4,2576,"Forest Hill, Louisiana"
4850,18.4,894,"Lewistown, Ohio"
4851,18.4,1379,"Copemish, Michigan"
4852,18.4,104,"Redford, Texas"
4853,18.4,628,"Wynona, Oklahoma"
4854,18.4,1841,"Shawneetown, Illinois"
4855,18.4,8205,"Beaver Dam, Kentucky"
4856,18.4,12672,"Robertsdale, Alabama"
4857,18.4,1576,"Oakley, Michigan"
4858,18.4,32213,"El Dorado, Arkansas"
4859,18.4,6558,"Burkesville, Kentucky"
4860,18.4,1357,"Newington, Georgia"
4861,18.4,7559,"West Salem, Ohio"
4862,18.4,431,"Wyatt, Missouri"
4863,18.4,1159,"Kingsland, Arkansas"
4864,18.4,12750,"Erwin, Tennessee"
4865,18.4,144,"Vulcan, Missouri"
4866,18.4,10673,"Andalusia, Alabama"
4867,18.4,24954,"Ponchatoula, Louisiana"
4868,18.4,2818,"Coden, Alabama"
4869,18.4,136,"New Troy, Michigan"
4870,18.4,2776,"Fairchild Air Force Base, Washington"
4871,18.4,15059,"Fort Leonard Wood, Missouri"
4872,18.4,3375,"Courtland, Mississippi"
4873,18.4,237,"Keo, Arkansas"
4874,18.4,29246,"Sevierville, Tennessee"
4875,18.4,10112,"Atoka, Oklahoma"
4876,18.4,3504,"Nortonville, Kentucky"
4877,18.4,33969,"New York, New York"
4878,18.4,34640,"Colorado Springs, Colorado"
4879,18.4,30217,"Dothan, Alabama"
4880,18.4,840,"Austin, Kentucky"
4881,18.4,11145,"Hamilton, Alabama"
4882,18.4,13613,"Saucier, Mississippi"
4883,18.4,1474,"Spavinaw, Oklahoma"
4884,18.4,20257,"Ponca City, Oklahoma"
4885,18.4,13842,"Odenville, Alabama"
4886,18.4,26040,"Lexington, Kentucky"
4887,18.4,20097,"Nacogdoches, Texas"
4888,18.4,10460,"Magee, Mississippi"
4889,18.4,9410,"Hilliard, Florida"
4890,18.4,14576,"Valley, Alabama"
4891,18.4,6005,"Chelsea, Oklahoma"
4892,18.4,704,"Bristol, Georgia"
4893,18.4,579,"Coy, Alabama"
4894,18.4,48731,"Bakersfield, California"
4895,18.4,5065,"New Hope, Alabama"
4896,18.4,6099,"San Antonio, Texas"
4897,18.4,13436,"Charleston, West Virginia"
4898,18.4,9563,"Tuskegee, Alabama"
4899,18.4,5908,"Mountain View, Missouri"
4900,18.4,8441,"Wellsburg, West Virginia"
4901,18.4,310,"Kirtland AFB, New Mexico"
4902,18.4,23182,"Mayfield, Kentucky"
4903,18.4,37798,"Winter Haven, Florida"
4904,18.4,139,"Yeoman, Indiana"
4905,18.4,2010,"Ty Ty, Georgia"
4906,18.4,55,"Fairview, Ohio"
4907,18.4,62276,"Los Angeles, California"
4908,18.4,1880,"Stephens, Arkansas"
4909,18.4,2082,"Harpersville, Alabama"
4910,18.4,223,"Mc Gee, Missouri"
4911,18.4,5953,"Richlands, Virginia"
4912,18.4,13848,"Crossville, Tennessee"
4913,18.4,8057,"Perry, Florida"
4914,18.4,124,"Calvin, Louisiana"
4915,18.4,25172,"Piqua, Ohio"
4916,18.4,98,"Perdue Hill, Alabama"
4917,18.4,5092,"Vian, Oklahoma"
4918,18.4,174,"Bladensburg, Ohio"
4919,18.4,26524,"Magna, Utah"
4920,18.4,121,"Tatum, South Carolina"
4921,18.4,6668,"White Pine, Tennessee"
4922,18.4,888,"Belmont, West Virginia"
4923,18.4,3435,"Gueydan, Louisiana"
4924,18.4,19801,"Thermal, California"
4925,18.4,4219,"Canton, Missouri"
4926,18.4,27152,"Wasco, California"
4927,18.4,437,"Lanagan, Missouri"
4928,18.4,9721,"Lumberton, Mississippi"
4929,18.4,938,"Blackwater, Virginia"
4930,18.4,431,"Wyatt, Missouri"
4931,18.4,1038,"Toomsboro, Georgia"
4932,18.4,1418,"Spruce Pine, Alabama"
4933,18.4,6780,"Brooklet, Georgia"
4934,18.4,237,"Keo, Arkansas"
4935,18.4,5980,"Fordyce, Arkansas"
4936,18.4,9213,"Jefferson, Ohio"
4937,18.4,30163,"Harrison, Arkansas"
4938,18.4,12289,"Colorado Springs, Colorado"
4939,18.4,26006,"Warren, Ohio"
4940,18.4,36228,"New Orleans, Louisiana"
4941,18.4,8869,"Greensburg, Kentucky"
4942,18.4,1145,"Curryville, Missouri"
4943,18.4,7755,"Winona, Mississippi"
4944,18.4,366,"McChord AFB, Washington"
4945,18.4,19309,"Fort Wayne, Indiana"
4946,18.4,87,"Bluff City, Arkansas"
4947,18.4,7495,"New Market, Tennessee"
4948,18.4,481,"Wheatley, Arkansas"
4949,18.4,344,"Magnolia, Alabama"
4950,18.4,10448,"Henryetta, Oklahoma"
4951,18.4,43356,"Douglasville, Georgia"
4952,18.4,1897,"Maud, Oklahoma"
4953,18.4,1206,"Leadwood, Missouri"
4954,18.4,4024,"Gerrardstown, West Virginia"
4955,18.4,27738,"Picayune, Mississippi"
4956,18.4,3956,"Wilmer, Texas"
4957,18.4,110,"York, New York"
4958,18.4,3403,"Bremen, Alabama"
4959,18.4,2604,"Ventress, Louisiana"
4960,18.4,11986,"Beebe, Arkansas"
4961,18.4,57369,"Jacksonville, Florida"
4962,18.4,6146,"Drummonds, Tennessee"
4963,18.4,2376,"Stanton, Tennessee"
4964,18.4,7097,"Crestline, Ohio"
4965,18.4,10087,"Centre, Alabama"
4966,18.4,29594,"Harvey, Illinois"
4967,18.4,12147,"Wheelersburg, Ohio"
4968,18.4,7563,"Graceville, Florida"
4969,18.4,1145,"Oakfield, Tennessee"
4970,18.4,23393,"Omaha, Nebraska"
4971,18.4,4698,"Rienzi, Mississippi"
4972,18.4,40521,"Eugene, Oregon"
4973,18.4,1096,"Pine Apple, Alabama"
4974,18.4,1321,"Clarksburg, Ohio"
4975,18.4,262,"Highland, Ohio"
4976,18.4,5125,"Lake, Michigan"
4977,18.4,42619,"Port Richey, Florida"
4978,18.4,2772,"Birchwood, Tennessee"
4979,18.4,11162,"Willard, Ohio"
4980,18.4,4007,"Carrabelle, Florida"
4981,18.4,8684,"Huntingdon, Tennessee"
4982,18.4,45842,"Gainesville, Florida"
4983,18.4,6054,"Silverdale, Washington"
4984,18.4,315,"Oark, Arkansas"
4985,18.4,40828,"Kissimmee, Florida"
4986,18.4,1150,"Yorkville, Ohio"
4987,18.4,568,"Violet Hill, Arkansas"
4988,18.4,5191,"Oklahoma City, Oklahoma"
4989,18.3,2295,"Bryant, Indiana"
4990,18.3,25488,"Plant City, Florida"
4991,18.3,40625,"Milwaukee, Wisconsin"
4992,18.3,2501,"Vado, New Mexico"
4993,18.3,565,"Junction City, Georgia"
4994,18.3,5189,"Unadilla, Georgia"
4995,18.3,909,"Taswell, Indiana"
4996,18.3,2169,"Plaucheville, Louisiana"
4997,18.3,515,"Kinross, Michigan"
4998,18.3,5879,"Anderson, Missouri"
4999,18.3,955,"Lake Lynn, Pennsylvania"
5000,18.3,21408,"South Bend, Indiana"
5001,18.3,8807,"Buena Vista, Virginia"
5002,18.3,12998,"Hawkinsville, Georgia"
5003,18.3,19200,"Whitewater, Wisconsin"
5004,18.3,3757,"Bismarck, Missouri"
5005,18.3,21305,"Laurel, Mississippi"
5006,18.3,3269,"Centerville, Pennsylvania"
5007,18.3,23911,"Twentynine Palms, California"
5008,18.3,4113,"Russellville, Tennessee"
5009,18.3,2192,"Wayne, Ohio"
5010,18.3,412,"Anita, Pennsylvania"
5011,18.3,10920,"Commerce, Georgia"
5012,18.3,11672,"Lanett, Alabama"
5013,18.3,2583,"Portal, Georgia"
5014,18.3,1998,"Hornbeak, Tennessee"
5015,18.3,1811,"Big Rock, Tennessee"
5016,18.3,862,"Langley, Oklahoma"
5017,18.3,6182,"Jonesville, Michigan"
5018,18.3,5807,"Satsuma, Florida"
5019,18.3,5956,"Stanley, Virginia"
5020,18.3,11931,"Conroe, Texas"
5021,18.3,18411,"Rockmart, Georgia"
5022,18.3,860,"Trimble, Tennessee"
5023,18.3,2843,"Oakwood, Virginia"
5024,18.3,1892,"Hardyville, Kentucky"
5025,18.3,1197,"Sellers, South Carolina"
5026,18.3,1616,"Bonnerdale, Arkansas"
5027,18.3,1489,"Weiner, Arkansas"
5028,18.3,8857,"Clare, Michigan"
5029,18.3,17184,"Ashland City, Tennessee"
5030,18.3,1556,"Collegedale, Tennessee"
5031,18.3,12121,"Wichita, Kansas"
5032,18.3,55332,"Columbus, Georgia"
5033,18.3,34343,"Pine Bluff, Arkansas"
5034,18.3,1207,"Batesville, Utah"
5035,18.3,7942,"Adamsville, Alabama"
5036,18.3,2733,"Belmont, Mississippi"
5037,18.3,6461,"Yellville, Arkansas"
5038,18.3,43790,"Montgomery, Alabama"
5039,18.3,18128,"Roma, Texas"
5040,18.3,5716,"Schenectady, New York"
5041,18.3,4752,"Windsor, Missouri"
5042,18.3,739,"Bienville, Louisiana"
5043,18.3,35294,"Alliance, Ohio"
5044,18.3,3671,"O Brien, Florida"
5045,18.3,53473,"Jacksonville, Florida"
5046,18.3,2719,"Tishomingo, Mississippi"
5047,18.3,1163,"Harviell, Missouri"
5048,18.3,1650,"Emerson, Georgia"
5049,18.3,2652,"Orrum, North Carolina"
5050,18.3,1588,"Midland, Ohio"
5051,18.3,3004,"Marion Center, Pennsylvania"
5052,18.3,3757,"Bismarck, Missouri"
5053,18.3,800,"Elizabeth, Arkansas"
5054,18.3,1022,"Decker, Michigan"
5055,18.3,20973,"Russellville, Arkansas"
5056,18.3,7156,"Tyler, Texas"
5057,18.3,2911,"Jeffersonville, Georgia"
5058,18.3,2238,"Newark, Arkansas"
5059,18.3,1866,"Harned, Kentucky"
5060,18.3,994,"Ducor, California"
5061,18.3,1163,"Harviell, Missouri"
5062,18.3,2428,"Menlo, Georgia"
5063,18.3,118,"Kirby, Ohio"
5064,18.3,1118,"Tranquillity, California"
5065,18.3,9134,"Strawberry Plains, Tennessee"
5066,18.3,25438,"Dayton, Ohio"
5067,18.3,238,"Clarence, Louisiana"
5068,18.3,16044,"Fort Benning, Georgia"
5069,18.3,289,"Saint Xavier, Montana"
5070,18.3,27258,"Conyers, Georgia"
5071,18.3,15951,"Loris, South Carolina"
5072,18.3,4751,"Masury, Ohio"
5073,18.3,793,"Auburntown, Tennessee"
5074,18.3,204,"Gilmore, Arkansas"
5075,18.3,3392,"New Vienna, Ohio"
5076,18.3,2562,"Pavo, Georgia"
5077,18.3,6166,"Colquitt, Georgia"
5078,18.3,6075,"Gordo, Alabama"
5079,18.3,6048,"Antlers, Oklahoma"
5080,18.3,70994,"Las Vegas, Nevada"
5081,18.3,1437,"Hatfield, Arkansas"
5082,18.3,18758,"Ashland, Kentucky"
5083,18.3,20973,"Russellville, Arkansas"
5084,18.3,25954,"Pittsburgh, Pennsylvania"
5085,18.3,8787,"Woodbury, Tennessee"
5086,18.3,6237,"Strathmore, California"
5087,18.3,4122,"Telford, Tennessee"
5088,18.3,4615,"Mayville, Michigan"
5089,18.3,6631,"Reed City, Michigan"
5090,18.3,566,"Adona, Arkansas"
5091,18.3,5948,"Lincoln, Maine"
5092,18.3,14313,"Mansfield, Ohio"
5093,18.3,30560,"Phoenix, Arizona"
5094,18.3,18401,"Greeneville, Tennessee"
5095,18.3,8112,"Kearneysville, West Virginia"
5096,18.3,977,"Finley, Tennessee"
5097,18.3,12482,"Cleveland, Ohio"
5098,18.3,55514,"San Antonio, Texas"
5099,18.3,4647,"Flintstone, Georgia"
5100,18.3,16710,"Conroe, Texas"
5101,18.3,2547,"Masontown, West Virginia"
5102,18.3,19201,"Syracuse, New York"
5103,18.3,9581,"Firebaugh, California"
5104,18.3,40375,"Phoenix, Arizona"
5105,18.3,1638,"Chatham, Louisiana"
5106,18.3,280,"White Oak, West Virginia"
5107,18.3,2656,"Lynnville, Tennessee"
5108,18.3,25099,"Batesville, Arkansas"
5109,18.3,494,"Berlin, Georgia"
5110,18.3,4770,"Unicoi, Tennessee"
5111,18.3,12676,"Tulsa, Oklahoma"
5112,18.3,5211,"Frankfort, Ohio"
5113,18.3,37837,"Winder, Georgia"
5114,18.3,9761,"Collins, Mississippi"
5115,18.3,674,"Hurricane Mills, Tennessee"
5116,18.3,1123,"Ripley, Oklahoma"
5117,18.3,144,"Woden, Texas"
5118,18.3,16630,"Decatur, Illinois"
5119,18.3,1671,"Mc Intyre, Georgia"
5120,18.3,1767,"Crawfordville, Georgia"
5121,18.3,706,"Weogufka, Alabama"
5122,18.3,16202,"Brewton, Alabama"
5123,18.3,7268,"Moriarty, New Mexico"
5124,18.3,1849,"Atwood, Tennessee"
5125,18.3,65,"Millcreek, Illinois"
5126,18.3,3000,"Ohkay Owingeh, New Mexico"
5127,18.3,4635,"Leighton, Alabama"
5128,18.3,46458,"Modesto, California"
5129,18.3,39723,"Wilson, North Carolina"
5130,18.3,16808,"Houston, Texas"
5131,18.3,25099,"Batesville, Arkansas"
5132,18.3,15719,"Parlier, California"
5133,18.3,23940,"Houston, Texas"
5134,18.3,1270,"Twining, Michigan"
5135,18.3,972,"Flag Pond, Tennessee"
5136,18.3,38456,"Bossier City, Louisiana"
5137,18.3,5879,"Anderson, Missouri"
5138,18.3,2025,"Big Prairie, Ohio"
5139,18.3,6283,"Dresden, Tennessee"
5140,18.3,3624,"Gassville, Arkansas"
5141,18.3,8395,"Demopolis, Alabama"
5142,18.3,38085,"Cartersville, Georgia"
5143,18.3,293,"Littleton, Illinois"
5144,18.3,5420,"Summerdale, Alabama"
5145,18.3,478,"Gallaway, Tennessee"
5146,18.3,605,"Slanesville, West Virginia"
5147,18.3,2669,"Marengo, Indiana"
5148,18.3,22178,"Independence, Missouri"
5149,18.3,577,"Penns Creek, Pennsylvania"
5150,18.3,2223,"Ansonia, Ohio"
5151,18.3,920,"Ridgeway, Ohio"
5152,18.3,8095,"Jesup, Georgia"
5153,18.3,243,"Union Star, Kentucky"
5154,18.3,37316,"Madison, Tennessee"
5155,18.3,3540,"Warsaw, Kentucky"
5156,18.3,1158,"Bentley, Michigan"
5157,18.3,1819,"Loreauville, Louisiana"
5158,18.3,862,"Langley, Oklahoma"
5159,18.3,842,"Idlewild, Michigan"
5160,18.3,85,"Samburg, Tennessee"
5161,18.3,938,"Milwaukee, Wisconsin"
5162,18.3,15009,"Tucson, Arizona"
5163,18.3,25346,"Roxbury, Massachusetts"
5164,18.3,622,"Fox, Arkansas"
5165,18.3,2751,"Puryear, Tennessee"
5166,18.3,4892,"Constantine, Michigan"
5167,18.3,1326,"Pitts, Georgia"
5168,18.3,31635,"Toledo, Ohio"
5169,18.3,128,"Brunswick, North Carolina"
5170,18.3,4877,"Shreve, Ohio"
5171,18.3,197,"Stillwater, Maine"
5172,18.3,30169,"Yakima, Washington"
5173,18.3,1306,"Sulphur Springs, Arkansas"
5174,18.3,5420,"Weaver, Alabama"
5175,18.3,36464,"Mesa, Arizona"
5176,18.3,1746,"Dozier, Alabama"
5177,18.3,16656,"Park Hills, Missouri"
5178,18.3,4200,"Coalgate, Oklahoma"
5179,18.3,10197,"Pell City, Alabama"
5180,18.3,39640,"Hephzibah, Georgia"
5181,18.3,9403,"Ava, Missouri"
5182,18.3,6422,"Mc Ewen, Tennessee"
5183,18.3,75371,"Bronx, New York"
5184,18.3,1592,"Iowa City, Iowa"
5185,18.3,5030,"Philadelphia, Tennessee"
5186,18.3,2612,"Singer, Louisiana"
5187,18.3,13398,"Kosciusko, Mississippi"
5188,18.3,9429,"Lubbock, Texas"
5189,18.3,2312,"Richland, Georgia"
5190,18.3,6612,"Stanton, Kentucky"
5191,18.3,1891,"Whittemore, Michigan"
5192,18.3,7944,"Dora, Alabama"
5193,18.3,2259,"Polk, Ohio"
5194,18.3,28714,"Springfield, Tennessee"
5195,18.3,8328,"Cassville, Missouri"
5196,18.3,384,"Hydaburg, Alaska"
5197,18.3,150,"Hallett, Oklahoma"
5198,18.3,2159,"Flovilla, Georgia"
5199,18.3,2458,"Kinzers, Pennsylvania"
5200,18.2,1253,"Stoutland, Missouri"
5201,18.2,20269,"Ionia, Michigan"
5202,18.2,11691,"San Antonio, Texas"
5203,18.2,13342,"Spokane, Washington"
5204,18.2,4942,"Anahuac, Texas"
